"NAME_OF_BOOK"|"CHAPTER_NUMBER"|"VERSE_NUMBER"|"TEXT_OF_VERSE"
"Genesis"|"036"|"018"|"And these are the sons of Aholibamah Esau's wife; duke Jeush, duke Jaalam, duke Korah: these were the dukes, descendants of Aholibamah the daughter of Anah Esau's wife."
"Genesis"|"036"|"019"|"These are the sons of Esau (who is Edom) and these are their dukes."
"Genesis"|"036"|"020"|"These are the sons of Seir the Horite, who inhabited the land; Lotan, and Shobal, and Zibeon, and Anah."
"Genesis"|"036"|"021"|"And Dishon, and Ezer, and Dishan: these are the dukes of the Horites, the children of Seir in the land of Edom."
"Genesis"|"036"|"022"|"And the children of Lotan were Hori, and Heman: and Lotan's sister was Timna."
"Genesis"|"036"|"023"|"And the children of Shobal were these; Alvan, and Manahath, and Ebal, Shepho, and Onam."
"Genesis"|"036"|"024"|"And these are the children of Zibeon; both Ajah and Anah; this was that Anah that found the mules in the wilderness, as he fed the asses of Zibeon his father."
"Genesis"|"036"|"025"|"And the children of Anah were these; Dishon, and Aholibamah the daughter of Anah."
"Genesis"|"036"|"026"|"And these are the children of Dishon; Hemdan, and Eshban, and Ithran, and Cheran."
"Genesis"|"036"|"027"|"The children of Ezer are these; Bilhan, and Zaavan, and Achan."
"Genesis"|"036"|"028"|"The children of Dishan are these; Uz, and Aran."
"Genesis"|"036"|"029"|"These are the dukes, descendants of the Horites; duke Lotan, duke Shobal, duke Zibeon, duke Anah,"
"Genesis"|"036"|"030"|"Duke Dishon, duke Ezer, duke Dishan; these are the dukes, descendants of Hori, among their dukes in the land of Seir."
"Genesis"|"036"|"031"|"And these are the kings that reigned in the land of Edom, before there reigned any king over the children of Israel."
"Genesis"|"036"|"032"|"And Bela the son of Beor reigned in Edom: and the name of his city was Dinhabah."
"Genesis"|"036"|"033"|"And Bela died, and Jobab the son of Zerah of Bozrah reigned in his stead."
"Genesis"|"036"|"034"|"And Jobab died, and Husham of the land of Temani reigned in his stead."
"Genesis"|"036"|"035"|"And Husham died, and Hadad the son of Bedad (who smote Midian in the field of Moab) reigned in his stead: and the name of his city was Avith."
"Genesis"|"036"|"036"|"And Hadad died, and Samlah of Masrekah reigned in his stead."
"Genesis"|"036"|"037"|"And Samlah died, and Saul of Rehoboth by the river reigned in his stead."
"Genesis"|"036"|"038"|"And Saul died, and Baal-hanan the son of Achbor reigned in his stead."
"Genesis"|"036"|"039"|"And Baal-hanan the son of Achbor died, and Hadar reigned in his stead; and the name of his city was Pau; and his wife's name was Mehetabel, the daughter of Matred, the daughter of Mezahab."
"Genesis"|"036"|"040"|"And these are the names of the dukes, descendants of Esau, according to their families, after their places, by their names; duke Timnah, duke Alvah, duke Jetheth,"
"Genesis"|"036"|"041"|"Duke Aholibamah, duke Elah, duke Pinon,"
"Genesis"|"036"|"042"|"Duke Kenaz, duke Teman, duke Mibzar."
"Genesis"|"036"|"043"|"Duke Magdiel, duke Iram; these are the dukes of Edom, according to their habitations, in the land of their possession: he is Esau the father of the Edomites."
"Genesis"|"037"|"001"|"And Jacob dwelt in the land in which his father was a stranger, in the land of Canaan."
"Genesis"|"037"|"002"|"These are the generations of Jacob. Joseph being seventeen years old, was feeding the flock with his brethren, and the lad was with the sons of Bilhah, and with the sons of Zilpah, his father's wives: and Joseph brought to his father their evil report."
"Genesis"|"037"|"003"|"Now Israel loved Joseph more than all his children, because he was the son of his old age: and he made him a coat of many colors."
"Genesis"|"037"|"004"|"And when his brethren saw that their father loved him more than all his brethren, they hated him, and could not speak peaceably to him."
"Genesis"|"037"|"005"|"And Joseph dreamed a dream, and he told it to his brethren: and they hated him yet the more."
"Genesis"|"037"|"006"|"And he said to them, Hear, I pray you, this dream which I have dreamed:"
"Genesis"|"037"|"007"|"For behold, we were binding sheaves in the field, and lo, my sheaf arose, and also stood upright; and behold, your sheaves stood around and made obeisance to my sheaf."
"Genesis"|"037"|"008"|"And his brethren said to him, Shalt thou indeed reign over us? or shalt thou indeed have dominion over us? and they hated him yet the more for his dreams and for his words."
"Genesis"|"037"|"009"|"And he dreamed yet another dream, and told it to his brethren, and said, Behold, I have dreamed a dream more: and behold, the sun and the moon and the eleven stars made obeisance to me."
"Genesis"|"037"|"010"|"And he told it to his father, and to his brethren: and his father rebuked him, and said to him, what is this dream that thou hast dreamed? Shall I and thy mother and thy brethren indeed come to bow down ourselves to thee to the earth?"
"Genesis"|"037"|"011"|"And his brethren envied him; but his father observed the saying."
"Genesis"|"037"|"012"|"And his brethren went to feed their father's flock in Shechem."
"Genesis"|"037"|"013"|"And Israel said to Joseph, Do not thy brethren feed the flock in Shechem? Come, and I will send thee to them. And he said to him, Here am I."
"Genesis"|"037"|"014"|"And he said to him, Go, I pray thee, see whether it is well with thy brethren, and well with the flocks; and bring me word again. So he sent him from the vale of Hebron, and he came to Shechem."
"Genesis"|"037"|"015"|"And a certain man found him, and behold he was wandering in the field: and the man asked him, saying, What seekest thou?"
"Genesis"|"037"|"016"|"And he said, I seek my brethren: tell me, I pray thee, where they feed their flocks."
"Genesis"|"037"|"017"|"And the man said, They have departed hence: for I heard them say, Let us go to Dothan. And Joseph went after his brethren and found them in Dothan."
"Genesis"|"037"|"018"|"And when they saw him afar off, even before he came near to them, they conspired against him to slay him."
"Genesis"|"037"|"019"|"And they said one to another, Behold, this dreamer is coming."
"Genesis"|"037"|"020"|"Come now therefore, and let us slay him, and cast him into some pit; and we will say, Some evil beast hath devoured him; and we shall see what will become of his dreams."
"Genesis"|"037"|"021"|"And Reuben heard it, and he delivered him from their hands: and said, Let us not kill him."
"Genesis"|"037"|"022"|"And Reuben said to them, Shed no blood; cast him into this pit that is in the wilderness, and lay no hand upon him; that he might deliver him from their hands, to bring him back to his father."
"Genesis"|"037"|"023"|"And it came to pass when Joseph had come to his brethren, that they stripped Joseph of his coat, his coat of many colors that was on him."
"Genesis"|"037"|"024"|"And they took him, and cast him into a pit: and the pit was empty; there was no water in it."
"Genesis"|"037"|"025"|"And they sat down to eat bread: and they lifted up their eyes and looked, and behold, a company of Ishmaelites came from Gilead, with their camels bearing spicery, and balm, and myrrh, going to carry them down to Egypt."
"Genesis"|"037"|"026"|"And Judah said to his brethren, What profit is it if we slay our brother, and conceal his blood."
"Genesis"|"037"|"027"|"Come, and let us sell him to the Ishmaelites, and let not our hand be upon him; for he is our brother, our flesh: and his brethren were content."
"Genesis"|"037"|"028"|"Then there passed by Midianites, merchants; and they drew and lifted Joseph out of the pit, and sold Joseph to the Ishmaelites for twenty pieces of silver: and they brought Joseph into Egypt."
"Genesis"|"037"|"029"|"And Reuben returned to the pit; and behold, Joseph was not in the pit: and he rent his clothes."
"Genesis"|"037"|"030"|"And he returned to his brethren, and said, The child is not: and I, whither shall I go?"
"Genesis"|"037"|"031"|"And they took Joseph's coat, and killed a kid of the goats, and dipped the coat in the blood:"
"Genesis"|"037"|"032"|"And they sent the coat of many colors, and they brought it to their father; and said, This have we found: know now whether it is thy son's coat or not."
"Genesis"|"037"|"033"|"And he knew it, and said, It is my son's coat; an evil beast hath devoured him: Joseph is without doubt rent in pieces."
"Genesis"|"037"|"034"|"And Jacob rent his clothes, and put sackcloth on his loins, and mourned for his son many days."
"Genesis"|"037"|"035"|"And all his sons and all his daughters rose up to comfort him; but he refused to be comforted; and he said, For I will go down into the grave to my son mourning: Thus his father wept for him."
"Genesis"|"037"|"036"|"And the Midianites sold him into Egypt to Potiphar, an officer of Pharaoh's, and captain of the guard."
"Genesis"|"038"|"001"|"And it came to pass at that time, that Judah went down from his brethren, and turned in to a certain Adullamite, whose name was Hirah."
"Genesis"|"038"|"002"|"And Judah saw there a daughter of a certain Canaanite, whose name was Shuah; and he took her, and went in to her."
"Genesis"|"038"|"003"|"And she conceived, and bore a son; and he called his name Er."
"Genesis"|"038"|"004"|"And she conceived again, and bore a son; and she called his name Onan."
"Genesis"|"038"|"005"|"And she yet again conceived, and bore a son; and called his name Shelah: and he was at Chezib, when she bore him."
"Genesis"|"038"|"006"|"And Judah took a wife for Er his first-born, whose name was Tamar."
"Genesis"|"038"|"007"|"And Er, Judah's first-born, was wicked in the sight of the LORD; and the LORD slew him."
"Genesis"|"038"|"008"|"And Judah said to Onan, Go in to thy brother's wife, and marry her, and raise up seed to thy brother."
"Genesis"|"038"|"009"|"And Onan knew that the seed would not be his: and it came to pass, when he went in to his brother's wife, that he frustrated the purpose, lest he should give seed to his brother."
"Genesis"|"038"|"010"|"And the thing which he did displeased the LORD: wherefore he slew him also."
"Genesis"|"038"|"011"|"Then said Judah to Tamar his daughter-in-law, Remain a widow at thy father's house, till Shelah my son shall be grown; (for he said, Lest perhaps he die also as his brethren did:) and Tamar went and dwelt in her father's house."
"Genesis"|"038"|"012"|"And in process of time, the daughter of Shuah Judah's wife died: and Judah was comforted, and went up to his sheep-shearers to Timnath, he and his friend Hirah the Adullamite."
"Genesis"|"038"|"013"|"And it was told to Tamar, saying, Behold, thy father-in-law goeth up to Timnath, to shear his sheep."
"Genesis"|"038"|"014"|"And she put off from her, her widow's garments, and covered her with a vail, and wrapped herself, and sat in an open place, which is by the way to Timnath: for she saw that Shelah was grown, and she was not given to him for a wife."
"Genesis"|"038"|"015"|"When Judah saw her, he thought her to be a harlot; because she had covered her face."
"Genesis"|"038"|"016"|"And he turned to her by the way, and said, Come, I pray thee, let me have access to thee; (for he knew not that she was his daughter-in-law:) and she said, What wilt thou give me, that thou mayst have access to me?"
"Genesis"|"038"|"017"|"And he said, I will send thee a kid from the flock: and she said, Wilt thou give me a pledge, till thou sendest it?"
"Genesis"|"038"|"018"|"And he said, What pledge shall I give thee? and she said, Thy signet, and thy bracelets, and thy staff that is in thy hand: and he gave them to her, and came in to her, and she conceived by him."
"Genesis"|"038"|"019"|"And she arose and went her way and laid by her vail from her, and put on the garments of her widowhood."
"Genesis"|"038"|"020"|"And Judah sent the kid by the hand of his friend the Adullamite, to receive his pledge from the woman's hand: but he found her not."
"Genesis"|"038"|"021"|"Then he asked the men of that place, saying, where is the harlot that was openly by the way-side? and they said, There was no harlot in this place."
"Genesis"|"038"|"022"|"And he returned to Judah, and said, I cannot find her; and also the men of the place said, that there was no harlot in this place."
"Genesis"|"038"|"023"|"And Judah said, Let her take it to her, lest we be shamed: behold, I sent this kid, and thou hast not found her."
"Genesis"|"038"|"024"|"And it came to pass about three months after, that it was told to Judah, saying, Tamar thy daughter-in-law hath played the harlot; and also, behold she is with child by lewdness: and Judah said, Bring her forth, and let her be burnt."
"Genesis"|"038"|"025"|"When she was brought forth, she sent to her father-in-law, saying, By the man whose these are, am I with child: and she said, Discern, I pray thee, whose are these, the signet, and bracelets, and staff."
"Genesis"|"038"|"026"|"And Judah acknowledged them, and said She hath been more righteous than I; because that I gave her not to Shelah my son: and he knew her again no more."
"Genesis"|"038"|"027"|"And it came to pass in the time of her travail, that behold, twins were in her womb."
"Genesis"|"038"|"028"|"And it came to pass when she travailed, that the one put out his hand; and the midwife took and bound upon his hand a scarlet thread, saying, This came out first."
"Genesis"|"038"|"029"|"And it came to pass as he drew back his hand, that behold, his brother came out; and she said, How hast thou broken forth? this breach be upon thee: therefore his name was called Pharez."
"Genesis"|"038"|"030"|"And afterwards came out his brother that had the scarlet thread upon his hand; and his name was called Zarah."
"Genesis"|"039"|"001"|"And Joseph was brought down to Egypt: and Potiphar, an officer of Pharaoh, captain of the guard, an Egyptian, bought him of the hands of the Ishmaelites, who had brought him down thither."
"Genesis"|"039"|"002"|"And the LORD was with Joseph, and he was a prosperous man: and he was in the house of his master the Egyptian."
"Genesis"|"039"|"003"|"And his master saw that the LORD was with him, and that the LORD made all that he did to prosper in his hand."
"Genesis"|"039"|"004"|"And Joseph found grace in his sight, and he served him: and he made him overseer over his house, and all that he had he put into his hand."
"Genesis"|"039"|"005"|"And it came to pass from the time that he had made him overseer in his house, and over all that he had, that the LORD blessed the Egyptian's house for Joseph's sake: and the blessing of the LORD was on all that he had in the house, and in the field."
"Genesis"|"039"|"006"|"And he left all that he had in Joseph's hand; and he knew not aught he had, save the bread which he ate; and Joseph was a goodly person, and well favored."
"Genesis"|"039"|"007"|"And it came to pass after these things, that his master's wife cast her eyes upon Joseph: and she said, Lie with me."
"Genesis"|"039"|"008"|"But he refused, and said to his master's wife, Behold, my master knoweth not what is with me in the house, and he hath committed all that he hath to my hand:"
"Genesis"|"039"|"009"|"There is none greater in his house than I; neither hath he kept back any thing from me but thee, because thou art his wife: how then can I do this great wickedness, and sin against God?"
"Genesis"|"039"|"010"|"And it came to pass, as she spoke to Joseph day by day, that he hearkened not to her, to lie by her, or to be with her."
"Genesis"|"039"|"011"|"And it came to pass, about this time, that Joseph went into the house to do his business; and there was none of the men of the house there within."
"Genesis"|"039"|"012"|"And she caught him by his garment, saying, Lie with me: and he left his garment in her hand, and fled, and went out."
"Genesis"|"039"|"013"|"And it came to pass, when she saw that he had left his garment in her hand, and had fled forth,"
"Genesis"|"039"|"014"|"That she called to the men of her house, and spoke to them, saying, See, he hath brought in a Hebrew to us to mock us: he came in to me to lie with me, and I cried with a loud voice:"
"Genesis"|"039"|"015"|"And it came to pass, when he heard that I raised my voice and cried, that he left his garment with me, and fled, and went out."
"Genesis"|"039"|"016"|"And she laid up his garment by her until his lord came home."
"Genesis"|"039"|"017"|"And she spoke to him according to these words, saying, The Hebrew servant, which thou hast brought to us, came in to me to mock me."
"Genesis"|"039"|"018"|"And it came to pass, as I raised my voice and cried, that he left his garment with me, and fled."
"Genesis"|"039"|"019"|"And it came to pass, when his master heard the words of his wife, which she spoke to him, saying, After this manner did thy servant to me; that his wrath was kindled."
"Genesis"|"039"|"020"|"And Joseph's master took him, and put him into the prison, a place where the king's prisoners were bound: and he was there in the prison."
"Genesis"|"039"|"021"|"But the LORD was with Joseph, and showed him mercy, and gave him favor in the sight of the keeper of the prison."
"Genesis"|"039"|"022"|"And the keeper of the prison committed to Joseph's hand all the prisoners that were in the prison; and whatever they did there, was done by him."
"Genesis"|"039"|"023"|"The keeper of the prison looked not to any thing that was under his hand; because the LORD was with him: and that which he did the LORD made it to prosper."
"Genesis"|"040"|"001"|"And it came to pass after these things, that the butler of the king of Egypt and his baker had offended their lord the king of Egypt."
"Genesis"|"040"|"002"|"And Pharaoh was wroth with two of his officers, with the chief of the butlers, and with the chief of the bakers."
"Genesis"|"040"|"003"|"And he put them in custody in the house of the captain of the guard, into the prison, the place where Joseph was bound."
"Genesis"|"040"|"004"|"And the captain of the guard charged Joseph with them, and he served them; and they continued a season in custody."
"Genesis"|"040"|"005"|"And they dreamed a dream both of them, each man his dream in one night, each man according to the interpretation of his dream; the butler and the baker of the king of Egypt, who were bound in the prison."
"Genesis"|"040"|"006"|"And Joseph came to them in the morning, and looked upon them, and behold, they were sad."
"Genesis"|"040"|"007"|"And he asked Pharaoh's officers that were with him in the ward of his lord's house, saying, Why look ye so sad to-day?"
"Genesis"|"040"|"008"|"And they said to him, We have dreamed a dream, and there is no interpreter of it. And Joseph said to them, Do not interpretations belong to God? tell me them, I pray you."
"Genesis"|"040"|"009"|"And the chief butler told his dream to Joseph, and said to him, In my dream, behold, a vine was before me;"
"Genesis"|"040"|"010"|"And on the vine were three branches: and it was as though it budded, and its blossoms shot forth; and its clusters brought forth ripe grapes:"
"Genesis"|"040"|"011"|"And Pharaoh's cup was in my hand: and I took the grapes, and pressed them into Pharaoh's cup, and I gave the cup into Pharaoh's hand."
"Genesis"|"040"|"012"|"And Joseph said to him, This is the interpretation of it: The three branches are three days;"
"Genesis"|"040"|"013"|"Yet within three days shall Pharaoh lift up thy head, and restore thee to thy place: and thou shalt deliver Pharaoh's cup into his hand, after the former manner when thou wast his butler."
"Genesis"|"040"|"014"|"But think on me when it shall be well with thee, and show kindness to me, I pray thee, and make mention of me to Pharaoh, and bring me out of this house:"
"Genesis"|"040"|"015"|"For indeed I was stolen away from the land of the Hebrews: and here also have I done nothing that they should put me into the dungeon."
"Genesis"|"040"|"016"|"When the chief baker saw that the interpretation was good, he said to Joseph, I also was in my dream, and behold, I had three white baskets on my head:"
"Genesis"|"040"|"017"|"And in the uppermost basket there was of all manner of bake-meats for Pharaoh; and the birds ate them out of the basket upon my head."
"Genesis"|"040"|"018"|"And Joseph answered, and said, This is the interpretation of it: The three baskets are three days:"
"Genesis"|"040"|"019"|"Yet within three days shall Pharaoh lift up thy head from off thee, and shall hang thee on a tree; and the birds shall eat thy flesh from off thee."
"Genesis"|"040"|"020"|"And it came to pass the third day, which was Pharaoh's birth-day, that he made a feast to all his servants: and he lifted up the head of the chief butler and of the chief baker among his servants."
"Genesis"|"040"|"021"|"And he restored the chief butler to his butlership again; and he gave the cup into Pharaoh's hand:"
"Genesis"|"040"|"022"|"But he hanged the chief baker: as Joseph had interpreted to them."
"Genesis"|"040"|"023"|"Yet the chief butler did not remember Joseph, but forgot him."
"Genesis"|"041"|"001"|"And it came to pass at the end of two full years, that Pharaoh dreamed: and behold, he stood by the river."
"Genesis"|"041"|"002"|"And behold, there came up out of the river seven well-favored cows and fat-fleshed; and they fed in a meadow."
"Genesis"|"041"|"003"|"And behold, seven other cows came up after them out of the river, ill-favored and lean-fleshed; and stood by the other cows upon the brink of the river."
"Genesis"|"041"|"004"|"And the ill-favored and lean-fleshed cows ate up the seven well-favored and fat cows. So Pharaoh awoke."
"Genesis"|"041"|"005"|"And he slept and dreamed the second time: and behold, seven ears of corn came up upon one stalk, rank and good."
"Genesis"|"041"|"006"|"And behold, seven thin ears and blasted with the east wind sprung up after them."
"Genesis"|"041"|"007"|"And the seven thin ears devoured the seven rank and full ears. And Pharaoh awoke, and behold, it was a dream."
"Genesis"|"041"|"008"|"And it came to pass in the morning, that his spirit was troubled; and he sent and called for all the magicians of Egypt, and all the wise men thereof: and Pharaoh told them his dream; but there was none that could interpret them to Pharaoh."
"Genesis"|"041"|"009"|"Then spoke the chief butler to Pharaoh, saying, I do remember my faults this day:"
"Genesis"|"041"|"010"|"Pharaoh was wroth with his servants, and put me in custody in the captain of the guard's house, both me, and the chief baker:"
"Genesis"|"041"|"011"|"And we dreamed a dream in one night, I and he: we dreamed each man according to the interpretation of his dream."
"Genesis"|"041"|"012"|"And there was there with us a young man, a Hebrew, servant to the captain of the guard; and we told him, and he interpreted to us our dreams; to each man according to his dream he interpreted."
"Genesis"|"041"|"013"|"And it came to pass, as he interpreted to us, so it was: me he restored to my office, and him he hanged."
"Genesis"|"041"|"014"|"Then Pharaoh sent and called Joseph, and they brought him hastily out of the dungeon: and he shaved himself, and changed his raiment, and came before Pharaoh."
"Genesis"|"041"|"015"|"And Pharaoh said to Joseph, I have dreamed a dream, and there is none that can interpret it: and I have heard it said of thee, that thou canst understand a dream to interpret it."
"Genesis"|"041"|"016"|"And Joseph answered Pharaoh, saying, It is not in me: God will give Pharaoh an answer of peace."
"Genesis"|"041"|"017"|"And Pharaoh said to Joseph, In my dream, behold, I stood upon the bank of the river:"
"Genesis"|"041"|"018"|"And behold, there came out of the river seven cows, fat-fleshed, and well-favored; and they fed in a meadow:"
"Genesis"|"041"|"019"|"And behold, seven other cows came out after them, poor, and very ill-favored, and lean-fleshed, such as I never saw in all the land of Egypt for badness:"
"Genesis"|"041"|"020"|"And the lean and the ill-favored cows ate up the first seven fat cows:"
"Genesis"|"041"|"021"|"And when they had eaten them up, it could not be known that they had eaten them; but they were still ill-favored, as at the beginning. So I awoke."
"Genesis"|"041"|"022"|"And I saw in my dream, and behold, seven ears came up on one stalk, full and good:"
"Genesis"|"041"|"023"|"And behold, seven ears, withered, thin, and blasted with the east wind, sprung up after them:"
"Genesis"|"041"|"024"|"And the thin ears devoured the seven good ears: and I told this to the magicians; but there was none that could explain it to me."
"Genesis"|"041"|"025"|"And Joseph said to Pharaoh, The dream of Pharaoh is one; God hath showed Pharaoh what he is about to do."
"Genesis"|"041"|"026"|"The seven good cows are seven years; and the seven good ears are seven years: the dream is one."
"Genesis"|"041"|"027"|"And the seven thin and ill-favored cows that came up after them are seven years; and the seven empty ears blasted with the east wind will be seven years of famine."
"Genesis"|"041"|"028"|"This is the thing which I have spoken to Pharaoh: What God is about to do he showeth to Pharaoh."
"Genesis"|"041"|"029"|"Behold, there come seven years of great plenty throughout all the land of Egypt:"
"Genesis"|"041"|"030"|"And there shall arise after them seven years of famine; and all the plenty shall be forgotten in the land of Egypt; and the famine shall consume the land;"
"Genesis"|"041"|"031"|"And the plenty shall not be known in the land by reason of the famine following: for it will be very grievous."
"Genesis"|"041"|"032"|"And for that the dream was doubled to Pharaoh twice; it is because the thing is established by God, and God will shortly bring it to pass."
"Genesis"|"041"|"033"|"Now therefore let Pharaoh look out a man discreet and wise, and set him over the land of Egypt."
"Genesis"|"041"|"034"|"Let Pharaoh do this, and let him appoint officers over the land, and take up the fifth part of the land of Egypt in the seven plenteous years."
"Genesis"|"041"|"035"|"And let them gather all the food of those good years that come, and lay up corn under the hand of Pharaoh; and let them keep food in the cities."
"Genesis"|"041"|"036"|"And that food shall be for store to the land against the seven years of famine, which shall be in the land of Egypt; that the land may not perish through the famine."
"Genesis"|"041"|"037"|"And the thing was good in the eyes of Pharaoh, and in the eyes of all his servants."
"Genesis"|"041"|"038"|"And Pharaoh said to his servants, Can we find such a man as this is, a man in whom the spirit of God is?"
"Genesis"|"041"|"039"|"And Pharaoh said to Joseph, Forasmuch as God hath shown thee all this, there is none so discreet and wise as thou art:"
"Genesis"|"041"|"040"|"Thou shalt be over my house, and according to thy word shall all my people be ruled: only in the throne will I be greater than thou."
"Genesis"|"041"|"041"|"And Pharaoh said to Joseph, See, I have set thee over all the land of Egypt."
"Genesis"|"041"|"042"|"And Pharaoh took off his ring from his hand, and put it upon Joseph's hand, and arrayed him in vestures of fine linen, and put a gold chain about his neck;"
"Genesis"|"041"|"043"|"And he made him to ride in the second chariot which he had: and they cried before him, Bow the knee: and he made him ruler over all the land of Egypt."
"Genesis"|"041"|"044"|"And Pharaoh said to Joseph, I am Pharaoh, and without thee shall no man lift up his hand or foot in all the land of Egypt."
"Genesis"|"041"|"045"|"And Pharaoh called Joseph's name Zaphnath-paaneah; and he gave him for a wife Asenath the daughter of Poti-pherah priest of On: and Joseph went over all the land of Egypt."
"Genesis"|"041"|"046"|"And Joseph was thirty years old when he stood before Pharaoh king of Egypt: and Joseph went out from the presence of Pharaoh, and went throughout all the land of Egypt."
"Genesis"|"041"|"047"|"And in the seven plenteous years the earth brought forth by handfulls."
"Genesis"|"041"|"048"|"And he gathered all the food of the seven years which were in the land of Egypt, and laid up the food in the cities: the food of the field which was around every city, he laid up in the same."
"Genesis"|"041"|"049"|"And Joseph gathered corn as the sand of the sea, very much, until he left numbering; for it was without number."
"Genesis"|"041"|"050"|"And to Joseph were born two sons before the years of famine came: which Asenath the daughter of Poti-pherah priest of On bore to him."
"Genesis"|"041"|"051"|"And Joseph called the name of the first-born Manasseh: For God, said he, hath made me forget all my toil, and all my father's house."
"Genesis"|"041"|"052"|"And the name of the second called he Ephraim: for God hath caused me to be fruitful in the land of my affliction."
"Genesis"|"041"|"053"|"And the seven years of plenteousness that was in the land of Egypt, were ended."
"Genesis"|"041"|"054"|"And the seven years of dearth began to come, according as Joseph had said: and the dearth was in all lands; but in all the land of Egypt there was bread."
"Genesis"|"041"|"055"|"And when all the land of Egypt was famished, the people cried to Pharaoh for bread: and Pharaoh said to all the Egyptians, Go to Joseph; what he saith to you, do."
"Genesis"|"041"|"056"|"And the famine was over all the face of the earth; and Joseph opened all the store-houses, and sold to the Egyptians; and the famine became severe in the land of Egypt."
"Genesis"|"041"|"057"|"And all countries came into Egypt to Joseph to buy corn; because the famine was distressing in all lands."
"Genesis"|"042"|"001"|"Now when Jacob saw that there was corn in Egypt, Jacob said to his sons, Why do ye look one upon another?"
"Genesis"|"042"|"002"|"And he said, Behold, I have heard that there is corn in Egypt: go down thither, and buy for us from thence; that we may live, and not die."
"Genesis"|"042"|"003"|"And Joseph's ten brethren went down to buy corn in Egypt."
"Genesis"|"042"|"004"|"But Benjamin, Joseph's brother, Jacob sent not with his brethren: for he said, Lest perhaps mischief shall befall him."
"Genesis"|"042"|"005"|"And the sons of Israel came to buy corn among those that came: for the famine was in the land of Canaan."
"Genesis"|"042"|"006"|"And Joseph was the governor over the land, and he it was that sold to all the people of the land: and Joseph's brethren came, and bowed themselves before him with their faces to the earth."
"Genesis"|"042"|"007"|"And Joseph saw his brethren, and he knew them, but made himself strange to them, and spoke roughly to them; and he said to them, Whence come ye? And they said, From the land of Canaan to buy food."
"Genesis"|"042"|"008"|"And Joseph knew his brethren, but they knew not him."
"Genesis"|"042"|"009"|"And Joseph remembered the dreams which he dreamed of them, and said to them, Ye are spies; to see the nakedness of the land have ye come."
"Genesis"|"042"|"010"|"And they said to him, No, my lord, but to buy food have thy servants come."
"Genesis"|"042"|"011"|"We are all one man's sons; we are true men; thy servants are no spies."
"Genesis"|"042"|"012"|"And he said to them, No, but to see the nakedness of the land have ye come."
"Genesis"|"042"|"013"|"And they said, Thy servants are twelve brethren, the sons of one man in the land of Canaan; and behold, the youngest is this day with our father, and one is not."
"Genesis"|"042"|"014"|"And Joseph said to them, That is what I spoke to you, saying, Ye are spies:"
"Genesis"|"042"|"015"|"By this ye shall be proved: By the life of Pharaoh ye shall not go forth hence, except your youngest brother shall come hither."
"Genesis"|"042"|"016"|"Send one of you, and let him bring your brother, and ye shall be kept in prison, that your words may be proved, whether there is any truth in you: or else by the life of Pharaoh surely ye are spies."
"Genesis"|"042"|"017"|"And he put them all together into custody three days."
"Genesis"|"042"|"018"|"And Joseph said to them the third day, This do, and live; for I fear God:"
"Genesis"|"042"|"019"|"If ye are true men, let one of your brethren be bound in the house of your prison: go ye, carry corn for the famine of your houses:"
"Genesis"|"042"|"020"|"But bring your youngest brother to me; so shall your words be verified, and ye shall not die. And they did so."
"Genesis"|"042"|"021"|"And they said one to another, We are verily guilty concerning our brother, in that we saw the anguish of his soul, when he besought us, and we would not hear; therefore is this distress come upon us."
"Genesis"|"042"|"022"|"And Reuben answered them, saying, Did I not speak to you, saying, Do not sin against the young man; and ye would not hear? therefore behold also his blood is required."
"Genesis"|"042"|"023"|"And they knew not that Joseph understood them; for he spoke to them by an interpreter."
"Genesis"|"042"|"024"|"And he turned himself away from them, and wept; and returned to them again, and communed with them, and took from them Simeon, and bound him before their eyes."
"Genesis"|"042"|"025"|"Then Joseph commanded to fill their sacks with corn, and to restore every man's money into his sack, and to give them provision for the way: and thus did he to them."
"Genesis"|"042"|"026"|"And they loaded their asses with the corn, and departed thence."
"Genesis"|"042"|"027"|"And as one of them opened his sack to give his ass provender in the inn, he espied his money: for behold, it was in his sack's mouth."
"Genesis"|"042"|"028"|"And he said to his brethren, My money is restored; and see it is even in my sack: and their heart failed them, and they were afraid, saying one to another, What is this that God hath done to us?"
"Genesis"|"042"|"029"|"And they came to Jacob their father to the land of Canaan, and told him all that befell them, saying,"
"Genesis"|"042"|"030"|"The man who is the lord of the land, spoke roughly to us, and took us for spies of the country."
"Genesis"|"042"|"031"|"And we said to him, We are true men; we are no spies:"
"Genesis"|"042"|"032"|"We are twelve brethren, sons of our father: one is not, and the youngest is this day with our father in the land of Canaan."
"Genesis"|"042"|"033"|"And the man, the lord of the country, said to us, By this shall I know that ye are true men: leave one of your brethren here with me, and take food for the famine of your households, and depart:"
"Genesis"|"042"|"034"|"And bring your youngest brother to me: then shall I know that ye are no spies, but that ye are true men: then will I deliver to you your brother, and ye shall traffick in the land."
"Genesis"|"042"|"035"|"And it came to pass as they emptied their sacks, that behold, every man's bundle of money was in his sack; and when they and their father saw the bundles of money, they were afraid."
"Genesis"|"042"|"036"|"And Jacob their father said to them, Me have ye bereaved: Joseph is not, and Simeon is not, and ye will take Benjamin away: all these things are against me."
